"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Regne Unit",260
2021,10,"Sant Martí",68,"el Poblenou","Dones","Regne Unit",28
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Regne Unit",34
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Regne Unit",13
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Regne Unit",8
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Regne Unit",183
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Regne Unit",151
2021,1,"Ciutat Vella",1,"el Raval","Dones","Rússia",151
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Rússia",119
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Rússia",117
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Rússia",4
2021,2,"Eixample",5,"el Fort Pienc","Dones","Rússia",58
2021,2,"Eixample",6,"la Sagrada Família","Dones","Rússia",39
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Rússia",76
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Rússia",26
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Rússia",65
2021,2,"Eixample",10,"Sant Antoni","Dones","Rússia",84
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Rússia",121
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Rússia",127
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Rússia",58
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Rússia",109
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Rússia",18
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Rússia",92
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Rússia",54
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Rússia",100
2021,4,"Les Corts",19,"les Corts","Dones","Rússia",158
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Rússia",110
2021,4,"Les Corts",21,"Pedralbes","Dones","Rússia",63
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Rússia",37
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Rússia",90
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Rússia",36
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Rússia",140
